reader 0 created.
reader 4 created.
reader 1 created.
reader 2 created.
reader 3 on iteration 93. sharedBuffer is 40.
reader 3 on iteration 94. sharedBuffer is 40.
reader 4 on iteration 96. sharedBuffer is 40.
reader 2 on iteration 96. sharedBuffer is 40.
reader 1 on iteration 110. sharedBuffer is 40.
reader 4 on iteration 97. sharedBuffer is 40.
reader 1 on iteration 111. sharedBuffer is 40.
reader 4 on iteration 98. sharedBuffer is 40.
reader 1 on iteration 112. sharedBuffer is 40.
reader 4 on iteration 99. sharedBuffer is 40.
reader 1 on iteration 113. sharedBuffer is 40.
reader 3 on iteration 95. sharedBuffer is 40.
reader 4 on iteration 100. sharedBuffer is 40.
reader 4 on iteration 101. sharedBuffer is 40.
reader 4 on iteration 102. sharedBuffer is 40.
reader 0 on iteration 119. sharedBuffer is 40.
reader 4 on iteration 103. sharedBuffer is 40.
reader 4 on iteration 104. sharedBuffer is 40.
reader 1 on iteration 114. sharedBuffer is 40.
reader 3 on iteration 96. sharedBuffer is 40.
reader 0 on iteration 120. sharedBuffer is 40.
reader 1 on iteration 115. sharedBuffer is 40.
reader 2 on iteration 97. sharedBuffer is 40.
reader 0 on iteration 121. sharedBuffer is 40.
